datetime,username,event
2019-12-09 21:16:14.990421,saviesavie,success
2019-12-09 21:16:14.976951,saviesavie,attempt
2019-12-09 21:16:14.486382,button,click
2019-12-09 21:09:11.993225,saviesavie,success
2019-12-09 21:09:11.988108,saviesavie,attempt
2019-12-09 21:09:11.376830,button,click
2019-12-09 21:06:55.353957,saviesavie,success
2019-12-09 21:06:55.350087,saviesavie,attempt
2019-12-09 21:06:54.974760,button,click
2019-12-09 21:05:57.459495,saviesavie,success
2019-12-09 21:05:57.455338,saviesavie,attempt
2019-12-09 21:05:57.069600,button,click
2019-12-09 21:05:19.214094,saviesavie,success
2019-12-09 21:05:19.209058,saviesavie,attempt
2019-12-09 21:05:18.792423,button,click
2019-12-09 21:03:36.286552,saviesavie,success
2019-12-09 21:03:36.281946,saviesavie,attempt
2019-12-09 21:03:35.851845,button,click
2019-12-09 21:00:31.776323,saviesavie,success
2019-12-09 21:00:31.769229,saviesavie,attempt
2019-12-09 21:00:31.219576,button,click
2019-12-09 20:59:25.453859,saviesavie,success
2019-12-09 20:59:25.446359,saviesavie,attempt
2019-12-09 20:59:25.061211,button,click
2019-12-09 20:56:30.436796,saviesavie,success
2019-12-09 20:56:30.432150,saviesavie,attempt
2019-12-09 20:56:30.051289,button,click
2019-12-09 20:55:52.878383,saviesavie,success
2019-12-09 20:55:52.872627,saviesavie,attempt
2019-12-09 20:55:52.415854,button,click
2019-12-09 20:48:22.350644,saviesavie,success
2019-12-09 20:48:22.346619,saviesavie,attempt
2019-12-09 20:48:21.950106,button,click
2019-12-09 20:46:08.868287,saviesavie,success
2019-12-09 20:46:08.860385,saviesavie,attempt
2019-12-09 20:46:08.322779,button,click
2019-12-09 20:45:24.715924,saviesavie,success
2019-12-09 20:45:24.709031,saviesavie,attempt
2019-12-09 20:45:24.227567,button,click
2019-12-09 20:43:31.482541,saviesavie,success
2019-12-09 20:43:31.476085,saviesavie,attempt
2019-12-09 20:43:31.093628,button,click
2019-12-09 20:42:38.029485,saviesavie,success
2019-12-09 20:42:38.022580,saviesavie,attempt
2019-12-09 20:42:37.628265,button,click
2019-12-09 20:42:11.440842,saviesavie,success
2019-12-09 20:42:11.433907,saviesavie,attempt
2019-12-09 20:42:10.993537,button,click
2019-12-09 20:37:56.178573,saviesavie,success
2019-12-09 20:37:56.173702,saviesavie,attempt
2019-12-09 20:37:55.695352,button,click
2019-12-09 20:36:59.060746,saviesavie,success
2019-12-09 20:36:59.053623,saviesavie,attempt
2019-12-09 20:36:58.633734,button,click
2019-12-09 20:35:45.899267,saviesavie,success
2019-12-09 20:35:45.894700,saviesavie,attempt
2019-12-09 20:35:45.223704,button,click
2019-12-09 20:28:27.644930,saviesavie,success
2019-12-09 20:28:27.640560,saviesavie,attempt
2019-12-09 20:28:27.263917,button,click
2019-12-09 20:27:44.484154,saviesavie,success
2019-12-09 20:27:44.478099,saviesavie,attempt
2019-12-09 20:27:44.121887,button,click
2019-12-09 20:27:19.054911,saviesavie,success
2019-12-09 20:27:19.049582,saviesavie,attempt
2019-12-09 20:27:18.577630,button,click
2019-12-09 20:23:09.073629,saviesavie,success
2019-12-09 20:23:09.068887,saviesavie,attempt
2019-12-09 20:23:08.704649,button,click
2019-12-09 20:22:36.261209,saviesavie,success
2019-12-09 20:22:36.254981,saviesavie,attempt
2019-12-09 20:22:35.841052,button,click
2019-12-09 20:19:48.963833,saviesavie,success
2019-12-09 20:19:48.954312,saviesavie,attempt
2019-12-09 20:19:48.531668,button,click
2019-12-09 20:19:12.273633,saviesavie,success
2019-12-09 20:19:12.268703,saviesavie,attempt
2019-12-09 20:19:11.790388,button,click
2019-12-09 20:03:20.549045,saviesavie,success
2019-12-09 20:03:20.543928,saviesavie,attempt
2019-12-09 20:03:20.200417,button,click
2019-12-09 20:02:29.063068,saviesavie,success
2019-12-09 20:02:29.058427,saviesavie,attempt
2019-12-09 20:02:28.696286,button,click
2019-12-09 20:00:15.251420,saviesavie,success
2019-12-09 20:00:15.247245,saviesavie,attempt
2019-12-09 20:00:14.597390,button,click
2019-12-09 19:42:14.967258,saviesavie,success
2019-12-09 19:42:14.962718,saviesavie,attempt
2019-12-09 19:42:14.497300,button,click
2019-12-09 19:39:51.403932,saviesavie,success
2019-12-09 19:39:51.398035,saviesavie,attempt
2019-12-09 19:39:50.974461,button,click
2019-12-09 19:38:48.856493,saviesavie,success
2019-12-09 19:38:48.850814,saviesavie,attempt
2019-12-09 19:38:48.436674,button,click
2019-12-09 19:24:10.143911,saviesavie,success
2019-12-09 19:24:10.140237,saviesavie,attempt
2019-12-09 19:24:09.463222,button,click
2019-12-09 19:22:38.935393,saviesavie,success
2019-12-09 19:22:38.930406,saviesavie,attempt
2019-12-09 19:22:38.429692,button,click
2019-12-09 19:21:48.922627,saviesavie,success
2019-12-09 19:21:48.917889,saviesavie,attempt
2019-12-09 19:21:48.335988,button,click
2019-12-07 15:23:29.694962,saviesavie,success
2019-12-07 15:23:28.960332,saviesavie,attempt
